,name,link,author,date
0,[이벤트] 셀프개통하면 에어팟프로등 사은품 드려요!,https://real-seller.com:443/bbs/board.php?bo_table=notice&wr_id=18&ca_id=,리얼셀러,05-25
1,워닛 서비스 개편 관련 서버 점검 안내,https://real-seller.com:443/bbs/board.php?bo_table=notice&wr_id=35&ca_id=,리얼셀러,04-30
2,[당첨자 발표] 공식 인스타그램 <꽃피는 밸런스> 이벤트,https://real-seller.com:443/bbs/board.php?bo_table=notice&wr_id=34&ca_id=,리얼셀러,03-23
3,"[당첨자 발표] 아이폰, 뭐가 불편했니? 설문이벤트",https://real-seller.com:443/bbs/board.php?bo_table=notice&wr_id=33&ca_id=,리얼셀러,03-02
4,[당첨자 발표] 공식 인스타그램 <졸업 시켜주세요!> 졸업시즌 이벤트,https://real-seller.com:443/bbs/board.php?bo_table=notice&wr_id=32&ca_id=,리얼셀러,03-02
5,[당첨자 발표]  공식 인스타그램 <릴레이 소설> 설날 이벤트,https://real-seller.com:443/bbs/board.php?bo_table=notice&wr_id=31&ca_id=,리얼셀러,02-16
6,[완료]갤럭시  S21  사전예약이 시작되었습니다.,https://real-seller.com:443/bbs/board.php?bo_table=notice&wr_id=29&ca_id=,리얼셀러,01-17
7,워닛 사은품 인증샷 이벤트 당첨자발표,https://real-seller.com:443/bbs/board.php?bo_table=notice&wr_id=28&ca_id=,리얼셀러,12-29
8,[당첨자 발표] 워닛 한돌 기념 이벤트,https://real-seller.com:443/bbs/board.php?bo_table=notice&wr_id=27&ca_id=,리얼셀러,12-01
9,[마감]휴대용 보조 배터리를 드립니다.,https://real-seller.com:443/bbs/board.php?bo_table=notice&wr_id=26&ca_id=,리얼셀러,11-26
10,한돌 기념 이벤트 종료 안내 및 당첨자 발표 관련 공지,https://real-seller.com:443/bbs/board.php?bo_table=notice&wr_id=25&ca_id=,리얼셀러,11-26
11,워닛 중고 품목 카테고리가 확장되었습니다.,https://real-seller.com:443/bbs/board.php?bo_table=notice&wr_id=23&ca_id=,리얼셀러,09-04
12,"택배없는날(8/14), 임시 공휴일(8/17) 로 인한 택배 안내",https://real-seller.com:443/bbs/board.php?bo_table=notice&wr_id=22&ca_id=,리얼셀러,08-13
13,[마감] MLB우산을 드립니다~,https://real-seller.com:443/bbs/board.php?bo_table=notice&wr_id=20&ca_id=,리얼셀러,07-29
14,7월 26일(일) 서버 점검 안내,https://real-seller.com:443/bbs/board.php?bo_table=notice&wr_id=19&ca_id=,리얼셀러,07-24
